name,capital,lat,lng,date,week
China,Beijing,39.91666666666666,116.38333300000001,2020-01-19,3
South Korea,Seoul,37.55,126.983333,2020-02-21,8
Japan,Tokyo,35.68333333333333,139.75,2020-02-22,8
Italy,Rome,41.9,12.483333,2020-02-24,9
Iran,Tehran,35.7,51.416667,2020-02-27,9
Singapore,Singapore,1.2833333333333332,103.85,2020-03-01,9
Germany,Berlin,52.51666666666666,13.4,2020-03-01,9
France,Paris,48.86666666666667,2.333333,2020-03-02,10
Spain,Madrid,40.4,-3.683333,2020-03-02,10
United States,Washington D.C.,38.883333,-77.0,2020-03-03,10
United Kingdom,London,51.5,-0.083333,2020-03-04,10
Belgium,Brussels,50.83333333333334,4.3333330000000005,2020-03-05,10
Netherlands,Amsterdam,52.35,4.9166669999999995,2020-03-07,10
Sweden,Stockholm,59.33333333333334,18.05,2020-03-07,10
Switzerland,Bern,46.91666666666666,7.466667,2020-03-07,10
Norway,Oslo,59.91666666666666,10.75,2020-03-07,10
Austria,Vienna,48.2,16.366667,2020-03-09,11
Bahrain,Manama,26.23333333333333,50.566666999999995,2020-03-10,11
Denmark,Copenhagen,55.66666666666666,12.583333,2020-03-10,11
Malaysia,Kuala Lumpur,3.1666666666666665,101.7,2020-03-10,11
Australia,Canberra,-35.266666666666666,149.133333,2020-03-11,11
Canada,Ottawa,45.41666666666666,-75.7,2020-03-12,11
Qatar,Doha,25.28333333333333,51.533333,2020-03-12,11
Iceland,Reykjavik,64.15,-21.95,2020-03-13,11
Finland,Helsinki,60.16666666666666,24.933332999999998,2020-03-13,11
Czech Republic,Prague,50.08333333333334,14.466667000000001,2020-03-13,11
Greece,Athens,37.98333333333333,23.733333,2020-03-13,11
Portugal,Lisbon,38.71666666666667,-9.133333,2020-03-14,11
Israel,Jerusalem,31.766666666666666,35.233333,2020-03-14,11
Slovenia,Ljubljana,46.05,14.516667000000002,2020-03-14,11
Brazil,Brasilia,-15.783333333333333,-47.916667,2020-03-15,11
Poland,Warsaw,52.25,21.0,2020-03-15,11
Romania,Bucharest,44.43333333333333,26.1,2020-03-15,11
Ireland,Dublin,53.31666666666667,-6.233333,2020-03-15,11
Philippines,Manila,14.6,120.96666699999999,2020-03-15,11
Estonia,Tallinn,59.43333333333333,24.716667,2020-03-15,11
Kuwait,Kuwait City,29.36666666666667,47.966667,2020-03-15,11
Iraq,Baghdad,33.333333333333336,44.4,2020-03-16,12
Indonesia,Jakarta,-6.166666666666668,106.816667,2020-03-16,12
Thailand,Bangkok,13.75,100.516667,2020-03-16,12
Saudi Arabia,Riyadh,24.65,46.7,2020-03-16,12
Egypt,Cairo,30.05,31.25,2020-03-16,12
Pakistan,Islamabad,33.68333333333333,73.05,2020-03-17,12
San Marino,San Marino,43.93333333333333,12.416667,2020-03-17,12
Lebanon,Beirut,33.86666666666667,35.5,2020-03-17,12
India,New Delhi,28.6,77.2,2020-03-17,12
Chile,Santiago,-33.45,-70.666667,2020-03-17,12
Peru,Lima,-12.05,-77.05,2020-03-18,12
Russia,Moscow,55.75,37.6,2020-03-18,12
United Arab Emirates,Abu Dhabi,24.466666666666665,54.36666700000001,2020-03-18,12
Luxembourg,Luxembourg,49.6,6.116667,2020-03-18,12
Ecuador,Quito,-0.21666666666666667,-78.5,2020-03-18,12
Panama,Panama City,8.966666666666667,-79.533333,2020-03-19,12
Slovakia,Bratislava,48.15,17.116667,2020-03-19,12
Mexico,Mexico City,19.433333333333334,-99.133333,2020-03-19,12
Colombia,Bogota,4.6,-74.083333,2020-03-19,12
South Africa,Pretoria,-25.7,28.216666999999998,2020-03-19,12
Taiwan,Taipei,25.03333333333333,121.516667,2020-03-19,12
Armenia,Yerevan,40.16666666666666,44.5,2020-03-19,12
Turkey,Ankara,39.93333333333333,32.866667,2020-03-19,12
Argentina,Buenos Aires,-34.583333333333336,-58.666667000000004,2020-03-20,12
Serbia,Belgrade,44.83333333333334,20.5,2020-03-20,12
Bulgaria,Sofia,42.68333333333333,23.316667000000002,2020-03-20,12
Croatia,Zagreb,45.8,16.0,2020-03-20,12
Costa Rica,San Jose,9.933333333333334,-84.083333,2020-03-21,12
Hungary,Budapest,47.5,19.083333,2020-03-21,12
Algeria,Algiers,36.75,3.05,2020-03-21,12
Latvia,Riga,56.95,24.1,2020-03-21,12
Uruguay,Montevideo,-34.85,-56.166667000000004,2020-03-21,12
Dominican Republic,Santo Domingo,18.466666666666665,-69.9,2020-03-22,12
Lithuania,Vilnius,54.68333333333333,25.316667000000002,2020-03-22,12
New Zealand,Wellington,-41.3,174.783333,2020-03-23,13
Morocco,Rabat,34.016666666666666,-6.816667,2020-03-23,13
Macedonia,Skopje,42.0,21.433332999999998,2020-03-23,13
Malta,Valletta,35.88333333333333,14.5,2020-03-23,13
Bosnia and Herzegovina,Sarajevo,43.86666666666667,18.416667,2020-03-23,13
Vietnam,Hanoi,21.03333333333333,105.85,2020-03-23,13
Andorra,Andorra la Vella,42.5,1.516667,2020-03-23,13
